transformation,replica,state,frame,distance,angle1,angle2,torsion1,torsion2,torsion3,arc_length1,arc_length2,d0
CHEMBL1078774~CHEMBL1078691,replica-0,24,9,16.590548,45.437325,47.265648,-125.08806,-83.9036,-149.68564,13.156817,13.686226,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,10,16.156944,59.658527,54.50824,-100.46278,-97.42617,-137.61086,16.82322,15.37088,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,11,16.33813,53.37543,46.68802,-115.90446,-93.179184,-146.68742,15.220227,13.313283,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,12,16.519875,49.66661,50.622383,-122.98484,-89.456535,-157.54665,14.320186,14.595759,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,13,16.404673,52.783367,48.895298,-122.1175,-87.385124,-142.30989,15.112699,13.999484,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,14,15.97045,56.489277,47.958824,-117.900375,-87.467316,-148.87971,15.745648,13.367895,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,15,16.435507,39.93635,55.966835,-116.90213,-78.20131,-152.16042,11.455891,16.054293,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,16,16.162907,47.5835,53.05691,-131.19403,-84.25056,-155.5751,13.423112,14.967138,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,17,16.336168,43.953735,47.300507,-121.57887,-98.29121,-134.20044,12.532085,13.486317,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,18,16.290941,50.508583,50.3103,-119.72778,-90.826385,-158.22093,14.361134,14.304755,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,19,16.235382,52.793262,52.62487,-136.37706,-66.95334,-142.56413,14.959544,14.911829,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,20,16.609713,56.499805,49.803753,-109.32819,-82.54837,-141.45096,16.378963,14.437818,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,21,16.281763,49.141945,49.44543,-122.97812,-79.562096,-150.6726,13.9646845,14.050926,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,22,16.194088,55.758953,54.57501,-110.97649,-96.4175,-140.18681,15.759719,15.425089,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,23,16.144606,54.374603,53.5071,-108.96259,-65.911804,-133.51263,15.321486,15.077044,16.350362300872803
CHEMBL1078774~CHEMBL1078691,replica-0,24,24,16.531193,39.90022,46.035892,-113.72195,-72.5702,-148.50705,11.512161,13.282448,16.350362300872803
CHEMBL1082249~CHEMBL1077227,replica-0,0,0,18.505314,58.780773,75.793816,9.574678,-33.465008,53.184902,18.984934,24.479786,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,1,18.440918,52.57956,78.21034,-8.760729,-23.346167,57.73817,16.92298,25.172369,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,2,18.1622,62.96467,84.05914,-9.9887085,-12.860171,42.150455,19.959183,26.645926,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,3,18.729942,48.151314,78.05534,8.753215,-14.426312,58.7379,15.740624,25.516226,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,4,18.54431,60.487923,81.36356,2.9849727,-18.588411,59.200275,19.577477,26.33407,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,5,18.43346,71.0415,76.63807,2.0539777,-2.269928,61.983368,22.855795,24.656351,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,6,18.748507,63.384377,82.02219,-4.703379,-7.480336,59.550377,20.740835,26.83956,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,7,18.64115,71.658806,76.759995,1.7823678,-1.1871271,70.84317,23.314152,24.973822,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,8,18.308565,61.408688,77.66791,22.404165,-10.706383,48.392498,19.622824,24.81837,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,9,18.42167,64.72009,82.776024,2.6507876,-9.142553,48.486843,20.808727,26.61405,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,10,18.361593,69.84823,84.90599,-1.9909,-26.037838,49.850445,22.38428,27.209843,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,11,18.614948,45.311874,79.552055,14.179754,-20.362501,73.38183,14.721472,25.845837,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,12,18.485264,71.059784,81.38622,16.818102,-20.120564,61.750164,22.925928,26.257532,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,13,18.659967,68.146286,82.55793,-8.023924,1.0897868,41.48892,22.193737,26.887291,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,14,18.656235,63.26159,80.17031,12.537744,-9.102579,63.909588,20.598778,26.104473,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,15,18.491947,55.461422,79.47262,-8.32798,-4.0352435,52.6905,17.899918,25.64942,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,16,18.365286,72.97991,78.597145,2.080546,2.1318223,58.250908,23.392593,25.193113,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,17,18.374674,55.15012,85.76425,8.8283415,3.330944,43.353683,17.686563,27.504473,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,18,18.302048,55.30296,78.15309,-15.63472,-7.1648183,58.364002,17.66548,24.964518,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,19,18.587599,62.174866,77.256004,-14.254472,-17.263391,59.464302,20.170446,25.06299,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,20,18.551954,41.966015,78.0342,5.795873,-11.346466,48.216316,13.588288,25.266903,18.488787412643433
CHEMBL1082249~CHEMBL1077227,replica-0,0,21,18.391973,50.854855,77.82258,3.939257,7.27698,76.81829,16.324432,24.981085,18.488787412643433
